id,category,drug_name,class_name,mechanism,target,indication,adverse_effect,exam_point,is_important,memo
1,自律神経系,アドレナリン,直接型アドレナリン作動薬,α1・α2・β1・β2受容体を刺激し血管収縮と心拍出増加と気管支拡張を起こす,αβ受容体,アナフィラキシー・心停止,動悸・血圧上昇・不整脈,アナフィラキシー第一選択は筋注アドレナリン,1,
2,自律神経系,ノルアドレナリン,直接型アドレナリン作動薬,主にα1とβ1を刺激し強い血管収縮と昇圧を起こす,α1 β1受容体,ショック時の昇圧,末梢虚血・不整脈,β2作用が弱く気管支拡張目的では使わない,1,
3,自律神経系,ドブタミン,β1刺激薬,β1受容体刺激で心収縮力を増強し心拍出量を上げる,β1受容体,急性心不全,頻脈・不整脈,心原性ショックで心収縮力を上げる薬,1,
4,自律神経系,フェニレフリン,α1刺激薬,α1受容体刺激により末梢血管を収縮させる,α1受容体,低血圧・鼻粘膜充血,反射性徐脈・血圧上昇,α1単独刺激に近く散瞳にも関係,0,
5,自律神経系,クロニジン,α2刺激薬,中枢性α2受容体刺激で交感神経活動を抑制し血圧を下げる,中枢α2受容体,高血圧,眠気・口渇・反跳性高血圧,急な中止で反跳性高血圧が起こる,1,
6,自律神経系,サルブタモール,β2刺激薬,β2受容体刺激で気管支平滑筋を弛緩させる,β2受容体,気管支喘息・COPD,振戦・頻脈・低K血症,短時間作用型β2刺激薬は発作時に使用,1,
7,自律神経系,プロプラノロール,非選択的β遮断薬,β1とβ2受容体を遮断し心拍数と心収縮力を下げる,β1 β2受容体,高血圧・狭心症・不整脈,徐脈・気管支収縮,喘息患者ではβ2遮断による気管支収縮に注意,1,
8,自律神経系,アテノロール,β1選択的遮断薬,β1受容体を選択的に遮断し心拍数と心仕事量を低下させる,β1受容体,高血圧・狭心症・頻脈性不整脈,徐脈・心不全悪化,β1選択性でも高用量では選択性が低下する,0,
9,自律神経系,カルベジロール,αβ遮断薬,β受容体遮断に加えてα1遮断により血管拡張も起こす,β受容体 α1受容体,慢性心不全・高血圧,徐脈・起立性低血圧,慢性心不全で予後改善に使われるβ遮断薬,1,
10,自律神経系,プラゾシン,α1遮断薬,α1受容体遮断により血管平滑筋を弛緩させ血圧を下げる,α1受容体,高血圧・前立腺肥大症に伴う排尿障害,起立性低血圧,初回投与時の起立性低血圧に注意,1,
11,自律神経系,タムスロシン,α1A遮断薬,前立腺と尿道のα1A受容体を遮断し尿道抵抗を下げる,α1A受容体,前立腺肥大症の排尿障害,めまい・射精障害,降圧より排尿改善が主目的,1,
12,自律神経系,ベタネコール,ムスカリン受容体刺激薬,ムスカリン受容体を刺激し膀胱排尿筋と消化管運動を促進する,M受容体,低緊張性膀胱・腸管麻痺,腹痛・発汗・気管支収縮,コリン作動性で排尿筋収縮を促す,1,
13,自律神経系,ピロカルピン,ムスカリン受容体刺激薬,ムスカリン受容体刺激により縮瞳と房水流出促進を起こす,M受容体,緑内障・口腔乾燥,発汗・縮瞳・気管支収縮,縮瞳薬として眼圧低下に関与,0,
14,自律神経系,アトロピン,ムスカリン受容体遮断薬,ムスカリン受容体を競合的に遮断し副交感神経作用を抑える,M受容体,徐脈・有機リン中毒,口渇・散瞳・尿閉,有機リン中毒ではPAMと併用される,1,
15,自律神経系,イプラトロピウム,吸入抗コリン薬,気道のムスカリン受容体を遮断し気管支収縮を抑える,M3受容体,気管支喘息・COPD,口渇・排尿困難,COPDで気管支拡張に用いられる吸入抗コリン薬,1,
16,自律神経系,ネオスチグミン,コリンエステラーゼ阻害薬,アセチルコリン分解を阻害し神経筋接合部のAChを増やす,アセチルコリンエステラーゼ,重症筋無力症・術後腸管麻痺,徐脈・腹痛・気管支収縮,末梢作用が中心で重症筋無力症に使う,1,
17,自律神経系,ドネペジル,中枢性コリンエステラーゼ阻害薬,脳内ACh分解を阻害しコリン作動性神経伝達を高める,アセチルコリンエステラーゼ,アルツハイマー型認知症,悪心・下痢・徐脈,認知症治療薬で病態進行を根本治療する薬ではない,1,
18,自律神経系,プラリドキシム,コリンエステラーゼ再賦活薬,有機リンでリン酸化されたAChEを再活性化する,アセチルコリンエステラーゼ,有機リン中毒,血圧上昇・複視,早期投与が重要で老化後は効果低下,1,
19,循環器系,ニトログリセリン,硝酸薬,NOを介してcGMPを増やし静脈拡張と冠血管拡張を起こす,可溶性グアニル酸シクラーゼ,狭心症,頭痛・低血圧・耐性,主に前負荷を減らし心筋酸素需要を下げる,1,
20,循環器系,硝酸イソソルビド,硝酸薬,NO供与により血管平滑筋を弛緩させ心負荷を下げる,NO-cGMP経路,狭心症,頭痛・起立性低血圧,連用で耐性が生じるため休薬時間を考える,0,
21,循環器系,ニコランジル,Kチャネル開口薬・硝酸薬様作用薬,KATPチャネル開口とNO様作用で冠血管を拡張する,KATPチャネル NO経路,狭心症,頭痛・口腔潰瘍,硝酸薬様作用とKチャネル開口作用の二面性,1,
22,循環器系,ジルチアゼム,非ジヒドロピリジン系Ca拮抗薬,L型Caチャネル遮断で心拍数低下と冠血管拡張を起こす,L型Caチャネル,狭心症・頻脈性不整脈・高血圧,徐脈・房室ブロック,心臓抑制作用があり不整脈にも使う,1,
23,循環器系,アムロジピン,ジヒドロピリジン系Ca拮抗薬,血管平滑筋L型Caチャネルを遮断し末梢血管を拡張する,L型Caチャネル,高血圧・狭心症,浮腫・顔面紅潮,血管選択性が高く降圧薬として頻用,1,
24,循環器系,ベラパミル,非ジヒドロピリジン系Ca拮抗薬,心筋と房室結節のCa流入を抑え伝導を遅らせる,L型Caチャネル,頻脈性不整脈・狭心症,便秘・徐脈・房室ブロック,房室結節抑制作用が強い,1,
25,循環器系,エナラプリル,ACE阻害薬,アンジオテンシンIからIIへの変換を阻害しアルドステロン分泌を抑える,ACE,高血圧・心不全,空咳・高K血症・血管浮腫,ブラジキニン増加による空咳が特徴,1,
